Portal,Report Name,Table,Columns In the Table,Data Type,Description
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,clicks_asin_share,Double Precision,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,clicks_click_rate,Double Precision,Click Rate (CTR) is the  percentage of clicks to impressions for ASINs originated from the search results page.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,clicks_median_asin_price,Double Precision,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,clicks_median_price,Double Precision,"Median listing price of the clicked ASINs at the time of the display in the search results page. The purchase price of the product will vary because it includes coupons, discounts, shipping, gift cards etc."
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,id,Integer,Unique number assigned to every line in the table
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,impressions_asin_count,integer,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,impressions_asin_share,Double Precision,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,one_day_shipping_speed_cart_adds,integer,"One-day or next-day shipping captures the number of times the added to cart ASIN displayed with the ""One-Day"" delivery message in the search results page."
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,one_day_shipping_speed_clicks,integer,"One-day or next-day shipping captures the number of times the clicked ASIN displayed with the ""One-Day"" delivery message in the search results page."
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,one_day_shipping_speed_purchases,Double Precision,"One-day or next-day shipping captures the number of times ASINs with ""One-Day"" delivery message is purchased in the search results page for the specific query. "
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,period,character varying,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,purchase_rate,Double Precision,Purchase rate = Purchases / Impressions
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,purchases_asin_count,integer,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,purchases_asin_share,Double Precision,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,purchases_median_asin_price,Double Precision,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,purchases_median_price,Double Precision,"Median price across all of the ASINs for the query, at the time of  purchase"
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,rank,integer,Order of top performance to least performance out of the 1000 Amazon shares.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,same_day_shipping_speed_cart_adds,integer,Same day shipping speed means customers receive the product within the day after purchasing them. This metric captures the number of times the added to cart ASIN displayed with the same day delivery message in the search results page.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,same_day_shipping_speed_clicks,integer,Same day shipping speed means customers receive the product within the day after purchasing them. This metric captures the number of times the clicked ASIN displayed with the same day delivery message in the search results page.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,same_day_shipping_speed_purchases,Double Precision,Same day shipping speed means customers receive the product within the day after purchasing them. This metric captures the number of times the purchased ASIN displayed with the same day delivery message in the search results page.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,search_query,character varying,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,search_query_volume,integer,The number of times this query was searched during the selected time period.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,snapshot_date,timestamp with time zone,Data of the report (Weekly or Monthly)
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,total_cart_adds,integer,The number of ASINs cart added for the query originated from the search result.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,total_clicks,integer,The number of ASINs clicked for the query originated from the search result.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,total_impressions,integer,The number of ASINs impressed for the query originated from the search result.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,total_purchases,integer,"The number of purchase actions happened for the query, originated from the search result."
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,two_day_shipping_speed_cart_adds,integer,This metric captures the number of times the added to cart ASIN displayed with the two day delivery message in the search results page.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,two_day_shipping_speed_clicks,integer,This metric captures the number of times the clicked ASIN displayed with the two day delivery message in the search results page.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,two_day_shipping_speed_purchases,Double Precision,"This metric captures the number of times ASINs with ""Two-Day"" delivery message is purchased in the search results page for the specific query. "
SC,Brand Store: live pages,brand_store_overview_live_pages,_created_on,timestamp with time zone,Date the record was created
SC,Brand Store: live pages,brand_store_overview_live_pages,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Brand Store: live pages,brand_store_overview_live_pages,_partneruuid,Character Varying,Partner Unique Identifier
SC,Brand Store: live pages,brand_store_overview_live_pages,_revision,Integer,Number of times the record has changed
SC,Brand Store: live pages,brand_store_overview_live_pages,date,timestamp with time zone,Date of the report
SC,Brand Store: live pages,brand_store_overview_live_pages,entity_id,Character Varying,Unique entity ID for the store
SC,Brand Store: live pages,brand_store_overview_live_pages,id,Integer,Unique number assigned to every line in the table
SC,Brand Store: live pages,brand_store_overview_live_pages,live_pages,Character Varying,Live Brand Store pages
SC,Brand Store: live pages,brand_store_overview_live_pages,orders,Integer,Estimated total orders placed by store visitors within 14 days of their visit. Orders contain one or more units sold.
SC,Brand Store: live pages,brand_store_overview_live_pages,sales,Double Precision,Estimated total sales by store visitors within 14 days of their last visit.
SC,Brand Store: live pages,brand_store_overview_live_pages,sales_per_order,Double Precision,Average number of sales per order
SC,Brand Store: live pages,brand_store_overview_live_pages,sales_per_visit,Double Precision, Average number of sales per visitor
SC,Brand Store: live pages,brand_store_overview_live_pages,store_id,Character Varying,Unique ID of the store
SC,Brand Store: live pages,brand_store_overview_live_pages,store_name,Character Varying,Store name
SC,Brand Store: live pages,brand_store_overview_live_pages,sub_entity_id,Character Varying,Unique ID of the sub-entity
SC,Brand Store: live pages,brand_store_overview_live_pages,units,Integer,Estimated total units purchased by store visitors within 14 days of their last visit.
SC,Brand Store: live pages,brand_store_overview_live_pages,units_per_order,Double Precision,Average number of units per order
SC,Brand Store: live pages,brand_store_overview_live_pages,views,Integer,Estimated total number of pages viewed by store visitors within 14 days of their last visit.
SC,Brand Store: live pages,brand_store_overview_live_pages,views_per_visit,Double Precision, Average number of pages viewed by a daily visitor to your store.
SC,Brand Store: live pages,brand_store_overview_live_pages,visits,Integer,Total visitors to your store within the selected date range.
SC,Brand Store: other pages,brand_store_overview_other_pages,_created_on,timestamp with time zone,Date the record was created
SC,Brand Store: other pages,brand_store_overview_other_pages,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Brand Store: other pages,brand_store_overview_other_pages,_partneruuid,Character Varying,Partner Unique Identifier
SC,Brand Store: other pages,brand_store_overview_other_pages,_revision,Integer,Number of times the record has changed
SC,Brand Store: other pages,brand_store_overview_other_pages,date,timestamp with time zone,Date of the report
SC,Brand Store: other pages,brand_store_overview_other_pages,entity_id,Character Varying,Unique entity ID for the store
SC,Brand Store: other pages,brand_store_overview_other_pages,id,Integer,Unique number assigned to every line in the table
SC,Brand Store: other pages,brand_store_overview_other_pages,orders,Integer,Estimated total orders placed by store visitors within 14 days of their visit. Orders contain one or more units sold.
SC,Brand Store: other pages,brand_store_overview_other_pages,other_pages,Character Varying,Deprecated brand store pages
SC,Brand Store: other pages,brand_store_overview_other_pages,sales,Double Precision,Estimated total sales by store visitors within 14 days of their last visit.
SC,Brand Store: other pages,brand_store_overview_other_pages,sales_per_order,Double Precision,Average number of sales per order
SC,Brand Store: other pages,brand_store_overview_other_pages,sales_per_visit,Double Precision, Average number of sales per visitor
SC,Brand Store: other pages,brand_store_overview_other_pages,store_id,Character Varying,Unique ID of the store
SC,Brand Store: other pages,brand_store_overview_other_pages,store_name,Character Varying,Store name
SC,Brand Store: other pages,brand_store_overview_other_pages,sub_entity_id,Character Varying,Unique ID of the sub-entity
SC,Brand Store: other pages,brand_store_overview_other_pages,units,Integer,Estimated total units purchased by store visitors within 14 days of their last visit.
SC,Brand Store: other pages,brand_store_overview_other_pages,units_per_order,Double Precision,Average number of units per order
SC,Brand Store: other pages,brand_store_overview_other_pages,views,Integer,Estimated total number of pages viewed by store visitors within 14 days of their last visit.
SC,Brand Store: other pages,brand_store_overview_other_pages,views_per_visit,Double Precision, Average number of pages viewed by a daily visitor to your store.
SC,Brand Store: other pages,brand_store_overview_other_pages,visits,Integer,Total visitors to your store within the selected date range.
SC,Brand Store: source,brand_store_overview_source,_created_on,timestamp with time zone,Date the record was created
SC,Brand Store: source,brand_store_overview_source,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Brand Store: source,brand_store_overview_source,_partneruuid,Character Varying,Partner Unique Identifier
SC,Brand Store: source,brand_store_overview_source,_revision,Integer,Number of times the record has changed
SC,Brand Store: source,brand_store_overview_source,date,timestamp with time zone,Date of the report
SC,Brand Store: source,brand_store_overview_source,entity_id,Character Varying,Unique entity ID for the store
SC,Brand Store: source,brand_store_overview_source,id,Integer,Unique number assigned to every line in the table
SC,Brand Store: source,brand_store_overview_source,orders,Integer,Estimated total orders placed by store visitors within 14 days of their visit. Orders contain one or more units sold.
SC,Brand Store: source,brand_store_overview_source,sales,Double Precision,Estimated total sales by store visitors within 14 days of their last visit.
SC,Brand Store: source,brand_store_overview_source,sales_per_order,Double Precision,Average number of sales per order
SC,Brand Store: source,brand_store_overview_source,sales_per_visit,Double Precision, Average number of sales per visitor
SC,Brand Store: source,brand_store_overview_source,source,Character Varying,Source of traffic to your store
SC,Brand Store: source,brand_store_overview_source,store_id,Character Varying,Unique ID of the store
SC,Brand Store: source,brand_store_overview_source,store_name,Character Varying,Store name
SC,Brand Store: source,brand_store_overview_source,sub_entity_id,Character Varying,Unique ID of the sub-entity
SC,Brand Store: source,brand_store_overview_source,units,Integer,Estimated total units purchased by store visitors within 14 days of their last visit.
SC,Brand Store: source,brand_store_overview_source,units_per_order,Double Precision,Average number of units per order
SC,Brand Store: source,brand_store_overview_source,views,Integer,Estimated total number of pages viewed by store visitors within 14 days of their last visit.
SC,Brand Store: source,brand_store_overview_source,views_per_visit,Double Precision, Average number of pages viewed by a daily visitor to your store.
SC,Brand Store: source,brand_store_overview_source,visits,Integer,Total visitors to your store within the selected date range.
SC,Brand Store: tag,brand_store_overview_tag,_created_on,timestamp with time zone,Date the record was created
SC,Brand Store: tag,brand_store_overview_tag,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Brand Store: tag,brand_store_overview_tag,_partneruuid,Character Varying,Partner Unique Identifier
SC,Brand Store: tag,brand_store_overview_tag,_revision,Integer,Number of times the record has changed
SC,Brand Store: tag,brand_store_overview_tag,date,timestamp with time zone,Date of the report
SC,Brand Store: tag,brand_store_overview_tag,entity_id,Character Varying,Unique entity ID for the store
SC,Brand Store: tag,brand_store_overview_tag,id,Integer,Unique number assigned to every line in the table
SC,Brand Store: tag,brand_store_overview_tag,orders,Integer,Estimated total orders placed by store visitors within 14 days of their visit. Orders contain one or more units sold.
SC,Brand Store: tag,brand_store_overview_tag,sales,Double Precision,Estimated total sales by store visitors within 14 days of their last visit.
SC,Brand Store: tag,brand_store_overview_tag,sales_per_order,Double Precision,Average number of sales per order
SC,Brand Store: tag,brand_store_overview_tag,sales_per_visit,Double Precision, Average number of sales per visitor
SC,Brand Store: tag,brand_store_overview_tag,store_id,Character Varying,Unique ID of the store
SC,Brand Store: tag,brand_store_overview_tag,store_name,Character Varying,Store name
SC,Brand Store: tag,brand_store_overview_tag,sub_entity_id,Character Varying,Unique ID of the sub-entity
SC,Brand Store: tag,brand_store_overview_tag,units,Integer,Estimated total units purchased by store visitors within 14 days of their last visit.
SC,Brand Store: tag,brand_store_overview_tag,units_per_order,Double Precision,Average number of units per order
SC,Brand Store: tag,brand_store_overview_tag,views,Integer,Estimated total number of pages viewed by store visitors within 14 days of their last visit.
SC,Brand Store: tag,brand_store_overview_tag,views_per_visit,Double Precision, Average number of pages viewed by a daily visitor to your store.
SC,Brand Store: tag,brand_store_overview_tag,visits,Integer,Total visitors to your store within the selected date range.
SC,Brand Store: tag,brand_store_overview_tag,your_tag,Character Varying,Tags used
SC,Coupon Performance ASINs,coupon_performance_asins,_created_on,timestamp with time zone,Date the record was created
SC,Coupon Performance ASINs,coupon_performance_asins,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Coupon Performance ASINs,coupon_performance_asins,_partneruuid,Character Varying,Partner Unique Identifier
SC,Coupon Performance ASINs,coupon_performance_asins,_revision,Integer,Number of times the record has changed
SC,Coupon Performance ASINs,coupon_performance_asins,asin,character varying,Unique identifier assigned by Amazon to a product
SC,Coupon Performance ASINs,coupon_performance_asins,coupon_id,character varying,Coupon ID
SC,Coupon Performance ASINs,coupon_performance_asins,discount,Integer,The discount amount offered
SC,Coupon Performance ASINs,coupon_performance_asins,discount_type,character varying,"The discount type - percent, amount, etc. "
SC,Coupon Performance ASINs,coupon_performance_asins,id,Integer,Unique number assigned to every line in the table
SC,Coupon Performance ASINs,coupon_performance_asins,snapshot_date,timestamp with time zone,Data of the report (Weekly or Monthly)
,Coupon Performance ASINs,promotion_performance_summary,snapshot_date,timestamp with time zone,Data of the report (Weekly or Monthly)
SC,Coupon Performance Summary,coupon_performance_summary,_created_on,timestamp with time zone,Date the record was created
SC,Coupon Performance Summary,coupon_performance_summary,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Coupon Performance Summary,coupon_performance_summary,_partneruuid,Character Varying,Partner Unique Identifier
SC,Coupon Performance Summary,coupon_performance_summary,_revision,Integer,Number of times the record has changed
SC,Coupon Performance Summary,coupon_performance_summary,budget,integer,The budget allotted for the promotion. 
SC,Coupon Performance Summary,coupon_performance_summary,budget_pct_used,integer,The percent of the budget used.
SC,Coupon Performance Summary,coupon_performance_summary,budget_remaining,integer,The remaining amount of the budget that has not been spent. 
SC,Coupon Performance Summary,coupon_performance_summary,budget_spent,integer,The amount of the budget spent thus far. 
SC,Coupon Performance Summary,coupon_performance_summary,clips,Integer,Number of clipped coupons
SC,Coupon Performance Summary,coupon_performance_summary,coupon_id,character varying,Coupon ID
SC,Coupon Performance Summary,coupon_performance_summary,currency_code,character varying,The code for the form of currency for the coupon
SC,Coupon Performance Summary,coupon_performance_summary,discount,Integer,The discount amount offered
SC,Coupon Performance Summary,coupon_performance_summary,discount_type,character varying,"The discount type - percent, amount, etc. "
SC,Coupon Performance Summary,coupon_performance_summary,end_date,timestamp with time zone,The promotion end date
SC,Coupon Performance Summary,coupon_performance_summary,id,Integer,Unique number assigned to every line in the table
SC,Coupon Performance Summary,coupon_performance_summary,marketplace_id,character varying,ID for the marketplace currently running the promotion
SC,Coupon Performance Summary,coupon_performance_summary,merchant_id,character varying,Merchant ID 
SC,Coupon Performance Summary,coupon_performance_summary,name,character varying,Coupon Name
SC,Coupon Performance Summary,coupon_performance_summary,redemptions,Integer,Total number of coupons redeemed
SC,Coupon Performance Summary,coupon_performance_summary,sales,integer,The amount of sales that resulted from the coupon. 
,Coupon Performance Summary,coupon_performance_summary,snapshot_date,timestamp with time zone,Data of the report (Weekly or Monthly)
SC,Coupon Performance Summary,coupon_performance_summary,start_date,timestamp with time zone,The promotion start date
SC,Coupon Performance Summary,coupon_performance_summary,total_discount,timestamp with time zone,The maximum discount amount a customer can redeem. 
SC,Coupon Performance Summary,coupon_performance_summary,website_message,integer,The promotional message displayed on the website
SC,Customer returns,returns_customer_returns,_created_on,timestamp with time zone,Date the record was created
SC,Customer returns,returns_customer_returns,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Customer returns,returns_customer_returns,_revision,Integer,Number of times the record has changed
